Player,.id,Rating,Games,Win,Draw,Loss,Lag,Team_Name
1181,2015,2441.40384,33,29,0,4,2,Duke
1403,1996,2439.961299,29,28,0,1,1,Texas Tech
1272,2013,2439.101211,34,30,0,4,1,Memphis
1272,2006,2437.950474,33,30,0,3,1,Memphis
1314,1987,2437.125304,31,28,0,3,0,North Carolina
1231,1993,2436.600704,31,28,0,3,0,Indiana
1385,1986,2435.993078,34,30,0,4,1,St John's
1246,1986,2435.916371,31,28,0,3,1,Kentucky
1328,1988,2435.367053,33,30,0,3,0,Oklahoma
1458,2008,2435.254307,33,29,0,4,0,Wisconsin
1281,2012,2434.956163,34,30,0,4,1,Missouri
1246,1997,2434.748493,33,29,0,4,0,Kentucky
1242,2002,2434.50827,30,27,0,3,0,Kansas
1181,2010,2434.48911,34,29,0,5,0,Duke
1181,2001,2433.960306,33,29,0,4,0,Duke
1181,1998,2433.785239,30,27,0,3,0,Duke
1181,2011,2433.455732,34,30,0,4,0,Duke
1181,2002,2433.330061,32,29,0,3,0,Duke
1163,1998,2431.756798,33,29,0,4,1,Connecticut
1314,1993,2430.788901,32,28,0,4,0,North Carolina
1246,2004,2430.688596,30,26,0,4,0,Kentucky
1329,2004,2430.423346,29,26,0,3,0,Oklahoma St
1438,2015,2429.884566,32,29,0,3,2,Virginia
1417,1995,2429.388116,27,25,0,2,1,UCLA
1116,1991,2428.917583,33,30,0,3,0,Arkansas
1276,1985,2428.783904,28,25,0,3,0,Michigan
1257,2005,2428.547139,31,27,0,4,1,Louisville
1163,2006,2428.041975,30,27,0,3,3,Connecticut
1247,1990,2427.979091,30,29,0,1,6,La Salle
1139,2010,2427.956389,32,28,0,4,5,Butler
1235,2000,2427.84997,30,26,0,4,0,Iowa St
1396,2010,2427.658521,34,29,0,5,0,Temple
1397,2008,2427.56143,32,28,0,4,1,Tennessee
1323,2015,2427.471246,34,29,0,5,1,Notre Dame
1207,2007,2427.297666,32,26,0,6,1,Georgetown
1112,2014,2427.23517,34,30,0,4,1,Arizona
1396,1987,2427.171182,34,31,0,3,3,Temple
1133,1986,2426.541866,32,30,0,2,3,Bradley
1153,2000,2426.390114,31,28,0,3,3,Cincinnati
1257,2014,2426.352596,34,29,0,5,1,Louisville
1385,1985,2426.067074,30,27,0,3,1,St John's
1320,2015,2425.488795,33,30,0,3,7,Northern Iowa
1328,2002,2425.469826,31,27,0,4,0,Oklahoma
1428,1997,2424.941923,28,25,0,3,1,Utah
1424,1990,2424.829934,34,29,0,5,1,UNLV
1438,2014,2424.743676,34,28,0,6,0,Virginia
1112,1998,2424.622426,31,27,0,4,1,Arizona
1314,2012,2424.174861,34,29,0,5,0,North Carolina
1338,2009,2422.993347,31,27,0,4,3,Pittsburgh
1276,1993,2422.795209,30,26,0,4,1,Michigan
1181,2009,2422.408902,34,28,0,6,0,Duke
1390,2001,2422.337634,28,26,0,2,1,Stanford
1293,2012,2421.493859,28,27,0,1,8,Murray St
1314,2009,2421.223613,31,27,0,4,1,North Carolina
1139,2008,2421.21501,32,29,0,3,5,Butler
1429,2011,2420.410548,32,29,0,3,1,Utah St
1386,2004,2420.408269,28,27,0,1,3,St Joseph's PA
1307,2013,2419.429229,34,29,0,5,1,New Mexico
1181,2000,2419.148952,31,27,0,4,0,Duke
1278,1997,2418.873006,29,26,0,3,1,Minnesota
1246,1995,2418.843943,29,25,0,4,0,Kentucky
1387,2013,2418.834221,33,27,0,6,0,St Louis
1452,2010,2418.820022,33,27,0,6,1,West Virginia
1196,2007,2418.552214,34,29,0,5,0,Florida
1314,2005,2418.492342,31,27,0,4,1,North Carolina
1372,2014,2418.327168,31,29,0,2,1,SF Austin
1211,2004,2418.14543,29,27,0,2,6,Gonzaga
1269,1992,2417.618403,31,27,0,4,3,Massachusetts
1424,1992,2417.521705,27,25,0,2,12,UNLV
1242,2013,2417.286913,34,29,0,5,1,Kansas
1140,2011,2417.165202,33,29,0,4,1,BYU
1228,1989,2417.16229,30,26,0,4,1,Illinois
1277,1990,2416.825566,31,26,0,5,0,Michigan St
1345,1988,2416.747189,30,27,0,3,1,Purdue
1338,2004,2416.637192,32,28,0,4,1,Pittsburgh
1424,1986,2416.549568,35,31,0,4,1,UNLV
1211,2002,2416.480549,31,28,0,3,6,Gonzaga
1123,1989,2416.451395,29,27,0,2,0,Ball St
1437,2014,2415.701256,32,28,0,4,3,Villanova
1211,2006,2415.629529,30,27,0,3,6,Gonzaga
1307,2010,2415.600491,33,29,0,4,2,New Mexico
1320,2010,2414.962636,32,28,0,4,7,Northern Iowa
1163,2009,2414.870974,31,27,0,4,3,Connecticut
1448,1995,2413.941909,29,24,0,5,0,Wake Forest
1246,1993,2413.558403,29,26,0,3,0,Kentucky
1277,2012,2413.356297,34,27,0,7,0,Michigan St
1338,2003,2413.342832,30,26,0,4,1,Pittsburgh
1104,1987,2412.027526,30,26,0,4,0,Alabama
1400,2008,2412.024342,33,27,0,6,0,Texas
1437,2006,2411.946167,29,25,0,4,2,Villanova
1396,2000,2411.741088,31,26,0,5,1,Temple
1242,2012,2411.353826,33,27,0,6,2,Kansas
1281,1994,2410.615945,27,24,0,3,1,Missouri
1120,1999,2410.462982,30,27,0,3,1,Auburn
1268,2002,2410.427507,30,26,0,4,1,Maryland
1458,2007,2410.369888,34,29,0,5,0,Wisconsin
1345,1994,2410.238134,30,26,0,4,1,Purdue
1393,2010,2410.115493,32,28,0,4,3,Syracuse
1314,1997,2410.055034,30,24,0,6,0,North Carolina
1231,1991,2410.019027,31,27,0,4,0,Indiana
1163,1990,2409.748653,32,27,0,5,0,Connecticut
1258,1988,2409.424954,27,24,0,3,6,Loy Marymount
1207,2008,2409.108955,32,27,0,5,1,Georgetown
1207,1987,2408.903466,26,22,0,4,0,Georgetown
1449,2005,2408.64907,31,26,0,5,1,Washington
1242,1992,2408.546714,28,24,0,4,0,Kansas
1314,2011,2408.279585,33,26,0,7,0,North Carolina
1443,2002,2408.227017,29,26,0,3,5,WKU
1280,2004,2407.813248,28,25,0,3,2,Mississippi St
1281,2009,2407.682425,34,28,0,6,1,Missouri
1112,1993,2407.652069,27,24,0,3,1,Arizona
1256,1985,2407.495786,28,26,0,2,3,Louisiana Tech
1328,1989,2407.124387,33,28,0,5,0,Oklahoma
1326,2013,2407.123057,33,26,0,7,0,Ohio St
1177,1987,2406.989061,28,26,0,2,1,DePaul
1130,2001,2406.655344,29,25,0,4,1,Boston College
1274,2013,2406.52294,33,27,0,6,0,Miami FL
1343,1998,2405.316985,26,25,0,1,5,Princeton
1153,1998,2405.310176,31,26,0,5,1,Cincinnati
1112,2003,2405.167029,28,25,0,3,3,Arizona
1428,1999,2404.874712,28,24,0,4,1,Utah
1330,2011,2404.849432,33,27,0,6,6,Old Dominion
1361,2014,2404.81553,31,27,0,4,1,San Diego St
1163,2004,2404.757232,33,27,0,6,1,Connecticut
1314,2007,2404.61569,34,28,0,6,0,North Carolina
1181,2004,2404.3554,32,27,0,5,0,Duke
1153,1992,2403.582897,29,25,0,4,1,Cincinnati
1257,1986,2403.543301,33,26,0,7,1,Louisville
1328,1985,2403.542177,30,25,0,5,2,Oklahoma
1203,2006,2403.243353,28,26,0,2,3,G Washington
1245,2002,2403.208809,31,26,0,5,1,Kent
1211,2005,2403.138363,29,25,0,4,6,Gonzaga
1356,2007,2403.121804,32,26,0,6,7,S Illinois
1424,1985,2402.90855,30,27,0,3,3,UNLV
1207,1989,2402.611254,26,22,0,4,0,Georgetown
1307,2014,2402.479391,33,27,0,6,1,New Mexico
1334,2005,2402.100277,29,26,0,3,1,Pacific
1277,2009,2401.836735,32,26,0,6,1,Michigan St
1158,1999,2401.702416,27,25,0,2,7,Col Charleston
1153,1996,2401.607931,29,25,0,4,1,Cincinnati
1424,2007,2401.596613,33,27,0,6,1,UNLV
1374,2015,2401.52002,32,26,0,6,0,SMU
1409,2000,2401.367553,33,29,0,4,1,Tulsa
1328,2001,2400.770067,32,26,0,6,0,Oklahoma
1428,1991,2400.758783,28,25,0,3,1,Utah
1338,2002,2400.69033,31,26,0,5,1,Pittsburgh
1371,1993,2400.390916,32,26,0,6,0,Seton Hall
1307,1996,2400.226861,30,26,0,4,1,New Mexico
1272,1985,2399.955881,29,26,0,3,1,Memphis
1318,1986,2399.506118,29,25,0,4,2,Northeastern
1433,2012,2399.39144,34,28,0,6,6,VA Commonwealth
1125,2011,2399.384428,34,30,0,4,8,Belmont
1166,2012,2399.322614,33,28,0,5,7,Creighton
1326,2010,2399.126774,34,27,0,7,0,Ohio St
1455,2015,2398.869406,31,27,0,4,8,Wichita St
1345,1996,2398.843588,30,25,0,5,1,Purdue
1314,1991,2398.702028,30,25,0,5,0,North Carolina
1443,1995,2398.45367,28,25,0,3,7,WKU
1246,1992,2398.349577,32,26,0,6,0,Kentucky
1372,2015,2398.346908,30,26,0,4,1,SF Austin
1112,2005,2398.161419,33,27,0,6,1,Arizona
1307,2012,2398.148602,32,26,0,6,1,New Mexico
1179,2008,2397.979823,30,26,0,4,7,Drake
1181,2005,2397.898682,30,25,0,5,0,Duke
1166,2003,2397.878582,33,29,0,4,6,Creighton
1328,1990,2397.821751,27,23,0,4,0,Oklahoma
1309,1993,2397.50057,28,25,0,3,5,New Orleans
1242,2006,2396.517199,31,24,0,7,0,Kansas
1181,2013,2396.274807,32,27,0,5,2,Duke
1163,2002,2396.140764,30,24,0,6,1,Connecticut
1220,2001,2395.845535,30,26,0,4,1,Hofstra
1269,1994,2395.73088,33,27,0,6,3,Massachusetts
1462,2008,2395.5902,33,27,0,6,2,Xavier
1326,2006,2395.555071,30,25,0,5,0,Ohio St
1326,2012,2395.512478,34,27,0,7,0,Ohio St
1338,2011,2395.394983,32,27,0,5,3,Pittsburgh
1417,2006,2395.353699,33,27,0,6,1,UCLA
1158,1997,2395.192591,28,26,0,2,8,Col Charleston
1112,1990,2395.081695,30,24,0,6,0,Arizona
1261,2000,2394.763544,31,26,0,5,1,LSU
1328,2003,2394.698296,30,24,0,6,0,Oklahoma
1323,2011,2394.681399,32,26,0,6,2,Notre Dame
1207,2013,2394.680937,31,25,0,6,2,Georgetown
1455,2012,2394.635769,31,26,0,5,8,Wichita St
1326,1991,2394.536221,28,25,0,3,1,Ohio St
1269,1995,2394.050048,30,26,0,4,3,Massachusetts
1231,2013,2393.560319,33,27,0,6,1,Indiana
1172,2007,2393.53184,31,27,0,4,8,Davidson
1181,2008,2393.522835,32,27,0,5,1,Duke
1314,1994,2393.375726,33,27,0,6,0,North Carolina
1461,1988,2393.374122,30,25,0,5,1,Wyoming
1196,2011,2393.277725,33,26,0,7,0,Florida
1448,2005,2392.784521,31,26,0,5,2,Wake Forest
1390,2000,2392.758706,28,25,0,3,1,Stanford
1163,1995,2392.523592,29,25,0,4,0,Connecticut
1298,1986,2392.376329,29,25,0,4,6,Navy
1116,1994,2392.338166,27,24,0,3,1,Arkansas
1116,1995,2392.322161,32,26,0,6,0,Arkansas
1390,1998,2392.179687,29,25,0,4,1,Stanford
1400,2006,2391.999303,33,27,0,6,0,Texas
1338,2007,2391.975463,34,27,0,7,1,Pittsburgh
1116,1990,2391.60348,30,26,0,4,0,Arkansas
1234,1987,2391.462688,29,25,0,4,0,Iowa
1163,1994,2391.294655,31,27,0,4,1,Connecticut
1345,2010,2391.24667,32,27,0,5,1,Purdue
1293,2010,2391.174386,32,28,0,4,8,Murray St
1276,2014,2391.029916,33,25,0,8,0,Michigan
1385,2000,2390.92705,31,24,0,7,1,St John's
1462,2003,2390.77493,30,25,0,5,2,Xavier
1235,2014,2390.768251,33,26,0,7,1,Iowa St
1395,1998,2390.614355,31,26,0,5,2,TCU
1210,1990,2390.601496,30,24,0,6,0,Georgia Tech
1400,2011,2390.501907,34,27,0,7,1,Texas
1390,1989,2390.271329,32,26,0,6,0,Stanford
1242,1990,2389.86631,31,27,0,4,1,Kansas
1277,2000,2389.823527,33,26,0,7,0,Michigan St
1246,1994,2389.798043,32,26,0,6,0,Kentucky
1462,1988,2389.658821,27,24,0,3,1,Xavier
1257,1994,2389.590316,31,26,0,5,0,Louisville
1260,1985,2389.540364,30,25,0,5,1,Loyola-Chicago
1268,2015,2389.504285,33,27,0,6,1,Maryland
1305,2006,2389.392469,31,26,0,5,1,Nevada
1268,1999,2389.278063,30,25,0,5,1,Maryland
1309,1987,2389.209972,26,23,0,3,8,New Orleans
1245,2008,2389.121185,34,28,0,6,1,Kent
1429,2009,2389.02758,33,29,0,4,1,Utah St
1345,1987,2388.71925,27,23,0,4,1,Purdue
1148,2002,2388.654813,31,27,0,4,4,Central Conn
1276,1986,2388.646966,29,25,0,4,1,Michigan
1246,2005,2388.515288,30,25,0,5,0,Kentucky
1272,2012,2388.506789,34,26,0,8,1,Memphis
1153,1993,2388.107082,28,24,0,4,1,Cincinnati
1393,2005,2388.086375,33,27,0,6,1,Syracuse
1172,2008,2387.866182,31,25,0,6,6,Davidson
1231,1987,2387.684482,28,24,0,4,1,Indiana
1328,2009,2387.654997,32,27,0,5,3,Oklahoma
1218,2002,2387.634752,32,27,0,5,1,Hawaii
1133,1988,2387.541512,30,26,0,4,6,Bradley
1431,2010,2387.504429,32,26,0,6,1,UTEP
1140,2010,2387.362538,33,28,0,5,2,BYU
1280,2002,2387.213832,33,26,0,7,0,Mississippi St
1298,1987,2387.050689,30,25,0,5,6,Navy
1417,1992,2386.829473,28,24,0,4,1,UCLA
1343,1997,2386.825218,26,23,0,3,5,Princeton
1451,2003,2386.739618,29,25,0,4,4,Weber St
1433,1985,2386.709226,30,25,0,5,7,VA Commonwealth
1435,1993,2386.574434,31,26,0,5,1,Vanderbilt
1242,1996,2386.556932,29,25,0,4,0,Kansas
1131,1997,2386.464873,29,25,0,4,2,Boston Univ
1196,2001,2386.107436,29,23,0,6,1,Florida
1277,2001,2386.084568,28,24,0,4,2,Michigan St
1231,1989,2385.536525,32,25,0,7,1,Indiana
1181,2012,2385.527528,33,27,0,6,1,Duke
1388,2013,2385.46962,32,26,0,6,6,St Mary's CA
1453,1996,2385.289205,27,24,0,3,7,WI Green Bay
1437,1995,2385.138328,31,24,0,7,0,Villanova
1314,1989,2385.070104,34,27,0,7,0,North Carolina
1373,2010,2384.97101,33,27,0,6,6,Siena
1428,1995,2384.933118,30,25,0,5,1,Utah
1247,1989,2384.870137,31,26,0,5,8,La Salle
1328,2000,2384.831216,32,26,0,6,0,Oklahoma
1393,2003,2384.825846,29,24,0,5,2,Syracuse
1246,1988,2384.658421,29,24,0,5,0,Kentucky
1246,2011,2384.643209,33,25,0,8,0,Kentucky
1206,2011,2384.639438,32,26,0,6,7,George Mason
1211,2009,2384.403304,30,25,0,5,6,Gonzaga
1196,2006,2384.381062,33,27,0,6,0,Florida
1173,2003,2384.330675,29,24,0,5,1,Dayton
1234,2006,2383.94035,33,25,0,8,0,Iowa
1350,2011,2383.611817,34,27,0,7,0,Richmond
1292,2013,2383.58643,33,28,0,5,7,MTSU
1314,1995,2383.450646,29,24,0,5,0,North Carolina
1196,2005,2383.323146,30,23,0,7,0,Florida
1429,2010,2383.310422,33,26,0,7,1,Utah St
1393,1989,2383.140478,33,26,0,7,0,Syracuse
1393,1986,2382.983671,29,24,0,5,1,Syracuse
1210,1986,2382.791606,30,24,0,6,0,Georgia Tech
1181,2014,2382.569894,34,26,0,8,0,Duke
1235,2015,2382.521303,33,25,0,8,1,Iowa St
1211,2014,2382.500767,33,27,0,6,5,Gonzaga
1390,2008,2382.315253,33,26,0,7,1,Stanford
1293,1998,2382.281949,28,25,0,3,7,Murray St
1386,1997,2382.26505,30,24,0,6,1,St Joseph's PA
1429,2000,2382.147926,29,24,0,5,1,Utah St
1254,2011,2381.970617,32,27,0,5,4,Long Island
1376,1997,2381.84777,30,23,0,7,1,South Carolina
1174,1992,2381.819958,28,25,0,3,6,Delaware
1417,2007,2381.663009,30,25,0,5,3,UCLA
1191,1992,2381.447719,29,24,0,5,1,Evansville
1181,1991,2381.116912,33,26,0,7,0,Duke
1199,2012,2381.088422,33,24,0,9,0,Florida St
1233,1998,2380.9252,31,26,0,5,6,Iona
1462,2002,2380.907842,30,25,0,5,1,Xavier
1417,1987,2380.880596,30,24,0,6,0,UCLA
1112,2000,2380.810601,32,26,0,6,1,Arizona
1305,2007,2380.782872,31,27,0,4,2,Nevada
1180,1996,2380.636249,28,25,0,3,3,Drexel
1180,2012,2380.602369,33,27,0,6,6,Drexel
1112,1991,2380.55577,32,26,0,6,1,Arizona
1393,1987,2380.472018,31,25,0,6,0,Syracuse
1228,2004,2380.40157,30,24,0,6,0,Illinois
1181,1988,2380.394195,30,24,0,6,0,Duke
1130,2006,2380.359147,32,25,0,7,0,Boston College
1428,1998,2380.334983,27,24,0,3,3,Utah
1393,2014,2380.312229,32,27,0,5,2,Syracuse
1437,2009,2380.131867,33,26,0,7,2,Villanova
1243,2010,2380.059604,32,25,0,7,1,Kansas St
1285,1992,2380.052296,28,25,0,3,1,Montana
1153,2014,2379.878996,33,27,0,6,2,Cincinnati
1242,2009,2379.623021,32,25,0,7,3,Kansas
1345,1995,2379.55302,30,24,0,6,0,Purdue
1373,2009,2379.524365,33,26,0,7,6,Siena
1326,1992,2379.499582,28,23,0,5,1,Ohio St
1281,1989,2379.402003,33,26,0,7,0,Missouri
1444,2004,2379.349185,30,26,0,4,1,W Michigan
1356,2004,2379.162831,29,25,0,4,7,S Illinois
1386,1986,2378.623283,30,25,0,5,6,St Joseph's PA
1124,2012,2378.485083,33,26,0,7,1,Baylor
1243,2013,2378.446818,33,26,0,7,1,Kansas St
1222,1992,2378.415854,29,24,0,5,0,Houston
1242,2003,2378.381149,30,23,0,7,1,Kansas
1417,2014,2377.953185,34,26,0,8,1,UCLA
1393,1991,2377.90119,30,25,0,5,2,Syracuse
1419,1993,2377.848664,29,25,0,4,7,ULM
1343,1991,2377.685636,25,23,0,2,0,Princeton
1266,2003,2377.433289,28,23,0,5,3,Marquette
1331,2012,2377.170092,33,27,0,6,6,Oral Roberts
1458,2004,2377.158847,30,24,0,6,0,Wisconsin
1124,2010,2377.108624,31,24,0,7,2,Baylor
1112,1994,2376.994949,30,25,0,5,1,Arizona
1283,1987,2376.882287,28,23,0,5,1,Missouri St
1165,2010,2376.731357,29,25,0,4,8,Cornell
1345,1998,2376.661815,33,26,0,7,0,Purdue
1242,1995,2376.654512,27,22,0,5,1,Kansas
1462,1990,2376.596017,29,25,0,4,1,Xavier
1329,2005,2376.327365,29,23,0,6,0,Oklahoma St
1314,2001,2376.325021,31,25,0,6,0,North Carolina
1449,2009,2376.31,33,25,0,8,2,Washington
1163,2011,2376.271341,35,26,0,9,1,Connecticut
1153,2004,2376.260198,30,24,0,6,1,Cincinnati
1269,1993,2376.217622,29,23,0,6,5,Massachusetts
1207,1996,2376.216902,31,24,0,7,1,Georgetown
1448,1996,2376.13071,28,23,0,5,0,Wake Forest
1443,1993,2376.035,29,24,0,5,5,WKU
1448,2003,2376.004988,29,24,0,5,1,Wake Forest
1274,1999,2375.972197,28,22,0,6,2,Miami FL
1337,1992,2375.948252,28,23,0,5,6,Pepperdine
1210,1985,2375.871833,31,24,0,7,0,Georgia Tech
1137,2006,2375.719088,29,25,0,4,2,Bucknell
1156,1986,2375.692788,27,24,0,3,1,Cleveland St
1388,2012,2375.323212,30,25,0,5,6,St Mary's CA
1424,1989,2374.981024,33,26,0,7,1,UNLV
1374,1988,2374.806258,33,27,0,6,0,SMU
1299,1988,2374.743335,24,22,0,2,8,NC A&T
1267,1987,2374.730119,30,25,0,5,1,Marshall
1350,2010,2374.689652,34,26,0,8,0,Richmond
1228,2003,2374.680909,30,24,0,6,0,Illinois
1433,2014,2374.649539,34,26,0,8,0,VA Commonwealth
1314,1986,2374.634626,31,26,0,5,2,North Carolina
1314,2006,2374.538773,29,22,0,7,1,North Carolina
1443,2008,2374.429756,31,25,0,6,5,WKU
1235,2001,2374.404316,29,24,0,5,2,Iowa St
1335,2002,2374.399228,31,25,0,6,1,Penn
1393,1988,2374.352877,32,24,0,8,0,Syracuse
1428,2005,2374.159024,30,25,0,5,1,Utah
1308,1990,2374.107122,28,24,0,4,2,New Mexico St
1433,2007,2374.027081,33,27,0,6,6,VA Commonwealth
1242,2015,2373.910481,34,26,0,8,1,Kansas
1393,2011,2373.770426,33,26,0,7,2,Syracuse
1221,2003,2373.764707,29,25,0,4,2,Holy Cross
1330,2010,2373.436269,34,26,0,8,6,Old Dominion
1401,2007,2373.401225,31,25,0,6,2,Texas A&M
1140,2008,2373.362825,34,27,0,7,1,BYU
1163,2014,2373.131993,34,26,0,8,1,Connecticut
1323,1986,2372.946875,27,22,0,5,1,Notre Dame
1335,1994,2372.887975,25,23,0,2,7,Penn
1337,1986,2372.875036,28,24,0,4,4,Pepperdine
1293,2015,2372.782288,30,25,0,5,8,Murray St
1458,2014,2372.661736,33,26,0,7,1,Wisconsin
1246,2001,2372.591725,31,22,0,9,0,Kentucky
1217,2014,2372.483718,29,25,0,4,8,Harvard
1425,1992,2372.307563,27,22,0,5,1,USC
1330,2005,2372.235297,32,27,0,5,6,Old Dominion
1130,2005,2372.111673,28,24,0,4,3,Boston College
1257,2012,2372.026211,35,26,0,9,1,Louisville
1457,2007,2371.902969,28,24,0,4,8,Winthrop
1423,2006,2371.897001,32,25,0,7,6,UNC Wilmington
1112,2001,2371.542797,29,22,0,7,1,Arizona
1462,2010,2371.394117,32,24,0,8,1,Xavier
1228,2001,2371.257852,31,24,0,7,1,Illinois
1437,2005,2371.082663,29,22,0,7,2,Villanova
1229,1998,2371.020772,28,23,0,5,6,Illinois St
1180,1994,2370.678502,28,24,0,4,6,Drexel
1437,1996,2370.643672,31,25,0,6,2,Villanova
1220,2006,2370.574491,30,24,0,6,6,Hofstra
1397,2010,2370.532244,33,25,0,8,1,Tennessee
1424,2008,2370.521699,32,25,0,7,1,UNLV
1385,1999,2370.46076,33,25,0,8,1,St John's
1104,2002,2370.207546,33,26,0,7,0,Alabama
1272,1986,2370.030476,31,26,0,5,1,Memphis
1174,1999,2369.950831,30,25,0,5,1,Delaware
1112,2011,2369.915662,34,27,0,7,1,Arizona
1220,2000,2369.750902,30,24,0,6,1,Hofstra
1266,2012,2369.42463,32,25,0,7,3,Marquette
1390,1999,2369.403913,29,23,0,6,1,Stanford
1166,2014,2369.383528,33,26,0,7,1,Creighton
1332,2007,2369.218822,33,26,0,7,1,Oregon
1137,2013,2369.190268,32,27,0,5,4,Bucknell
1158,1994,2369.047867,25,22,0,3,13,Col Charleston
1338,2008,2368.987055,35,26,0,9,1,Pittsburgh
1116,1989,2368.919709,30,24,0,6,0,Arkansas
1246,1999,2368.919675,33,25,0,8,0,Kentucky
1166,2009,2368.747089,33,26,0,7,8,Creighton
1209,2001,2368.710423,29,25,0,4,8,Georgia St
1314,1988,2368.686707,30,24,0,6,0,North Carolina
1452,1989,2368.628646,29,25,0,4,6,West Virginia
1371,1989,2368.383987,31,25,0,6,1,Seton Hall
1433,2013,2368.359171,34,26,0,8,0,VA Commonwealth
1181,1994,2368.277038,28,23,0,5,1,Duke
1307,1993,2368.250824,29,23,0,6,1,New Mexico
1163,2005,2368.162919,29,22,0,7,2,Connecticut
1434,2013,2368.102154,32,25,0,7,5,Valparaiso
1201,2000,2367.938687,33,24,0,9,1,Fresno St
1222,1990,2367.463827,31,24,0,7,0,Houston
1172,2013,2367.436776,32,25,0,7,6,Davidson
1428,2009,2367.434147,32,24,0,8,1,Utah
1361,2010,2367.399686,31,23,0,8,1,San Diego St
1261,2009,2367.2692,33,26,0,7,1,LSU
1153,1999,2367.204019,30,25,0,5,2,Cincinnati
1431,1986,2367.197586,32,27,0,5,1,UTEP
1166,2013,2367.128995,34,27,0,7,7,Creighton
1266,2002,2367.082025,32,26,0,6,1,Marquette
1307,2005,2366.999225,31,25,0,6,1,New Mexico
1388,2010,2366.941996,30,25,0,5,6,St Mary's CA
1325,1994,2366.877624,30,23,0,7,3,Ohio
1448,2009,2366.85436,30,24,0,6,2,Wake Forest
1400,2003,2366.78717,28,22,0,6,2,Texas
1125,2013,2366.757687,30,24,0,6,8,Belmont
1429,2004,2366.753178,27,24,0,3,2,Utah St
1304,1991,2366.712647,33,26,0,7,0,Nebraska
1116,2015,2366.707702,34,26,0,8,0,Arkansas
1301,1988,2366.634529,30,23,0,7,1,NC State
1355,2012,2366.487218,32,25,0,7,5,S Dakota St
1190,1991,2366.485033,29,25,0,4,7,ETSU
1400,2001,2366.243197,32,24,0,8,0,Texas
1211,2012,2366.17349,31,25,0,6,6,Gonzaga
1393,1990,2366.099312,29,23,0,6,0,Syracuse
1181,2003,2365.90257,30,24,0,6,0,Duke
1393,2009,2365.765625,34,25,0,9,1,Syracuse
1112,1996,2365.714017,30,24,0,6,1,Arizona
1407,2003,2365.631456,30,25,0,5,8,Troy
1345,2009,2365.569342,34,25,0,9,0,Purdue
1462,1986,2365.516875,27,23,0,4,8,Xavier
1229,1997,2365.429314,29,24,0,5,6,Illinois St
1257,2003,2365.415056,30,24,0,6,1,Louisville
1257,2008,2365.410901,32,24,0,8,3,Louisville
